step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
2790000,720.409,,57.283,4724.086,1393.285595932561,1670.03515625,0.03658692866296455,100.3,1472.6549468042504,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2820000,709.876,,58.609,4773.83,1393.5962297918427,1670.03515625,0.03620033812341505,100.3,1472.1271380362425,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2850000,716.549,,65.023,4823.744,1393.8341253137419,1670.03515625,0.035829324409119435,100.3,1471.6205961749633,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2880000,721.904,,56.669,4873.766,1394.0645238757504,1670.03515625,0.03545849720554751,100.3,1471.0735565229766,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2910000,731.801,,57.259,4923.244,1394.2943207287396,1670.03515625,0.035102459016393445,100.3,1470.5483334400615,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2940000,715.583,,71.112,4974.358,1394.4938102180527,1670.03515625,0.034746450304259636,100.3,1469.9825858899594,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2970000,716.967,,49.347,5023.668,1394.390474367343,1670.03515625,0.034404498895360514,100.3,1469.4391773574011,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3000000,718.664,,58.886,5074.151,1394.38623328445,1670.03515625,0.034062437860409626,100.3,1468.8955946137403,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3030000,709.618,,52.529,5123.314,1394.5026608347282,1670.03515625,0.033733753446238676,100.3,1468.3732691881646,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3060000,734.609,,48.978,5173.449,1394.682641563475,1670.03515625,0.03340483619344774,100.3,1467.8505737495125,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3090000,722.424,,56.121,5224.062,1394.8330519445249,1670.03515625,0.03308227114716107,100.3,1467.3379728539012,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3120000,723.395,,37.433,5273.308,1395.0054218182036,1670.03515625,0.03277214463363306,100.3,1466.8451385235317,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3150000,728.906,,63.039,5322.579,1395.192325977488,1670.03515625,0.032473933649289105,100.3,1466.3712396327014,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3180000,745.414,,44.98,5373.99,1395.3781574176212,1670.03515625,0.03216297408937289,100.3,1465.8770814753098,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3210000,750.746,,64.077,5423.075,1395.559523255814,1670.03515625,0.031869767441860465,100.3,1465.4111351744186,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3240000,746.89,,71.552,5473.251,1395.7550720046083,1670.03515625,0.03157603686635945,100.3,1464.944356278802,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3270000,725.993,,65.447,5523.402,1395.9602089137286,1670.03515625,0.031293386919985386,100.3,1464.4951860499634,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3300000,757.394,,54.549,5573.501,1396.145397498416,1670.03515625,0.03101013758146271,100.3,1464.0450633033129,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
3330000,739.478,,81.411,5622.45,1396.3311703607321,1670.03515625,0.030743000717875092,100.3,1463.6205455289842,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
