step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule
1490000,0.505,,0.529,1658.157,652.8262190519324,748.453125,56.780012077294714,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1500000,0.538,,0.518,1671.718,652.2489889155182,748.453125,56.76518873576996,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1510000,0.587,,0.504,1686.354,651.5941025831354,748.453125,56.742874109263695,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1520000,0.452,,0.547,1699.638,651.0359181644078,748.453125,56.73040659988219,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1530000,0.623,,0.482,1713.337,650.4443216686149,748.453125,56.71519579193459,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1540000,0.525,,0.529,1724.738,649.9863077090592,748.453125,56.71109175377474,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1550000,0.633,,0.473,1738.461,649.4117223502304,748.453125,56.698214285714336,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1560000,0.547,,0.517,1751.268,648.9264963529748,748.453125,56.68872997711674,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1570000,0.459,,0.538,1763.09,648.4479403409091,748.453125,56.68357954545457,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1580000,0.491,,0.534,1773.998,648.0150162337662,748.453125,56.685093167701886,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1590000,0.609,,0.491,1791.548,647.3182556595864,748.453125,56.65265511458917,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1600000,0.659,,0.46,1805.026,646.8236508046615,748.453125,56.63745837957826,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1610000,0.561,,0.52,1816.622,646.3736304437707,748.453125,56.631146637265715,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1620000,0.503,,0.531,1828.031,645.9667893835616,748.453125,56.626301369863015,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1630000,0.566,,0.509,1840.889,645.4921109902067,748.453125,56.620239390642006,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1640000,0.579,,0.509,1851.349,645.1314596861472,748.453125,56.62012987012987,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1650000,0.617,,0.492,1862.052,644.7392835529855,748.453125,56.6200107584723,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1660000,0.588,,0.502,1873.175,644.3516293449198,748.453125,56.61796791443851,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1670000,0.512,,0.536,1884.334,643.9685174109517,748.453125,56.61945773524722,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1680000,0.516,,0.53,1895.365,643.5898850422833,748.453125,56.61855179704017,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1690000,0.556,,0.519,1906.306,643.2156545585917,748.453125,56.6184971098266,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1700000,0.562,,0.511,1917.355,642.8459296630094,748.453125,56.62110762800418,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1710000,0.59,,0.506,1928.36,642.4804707792208,748.453125,56.62363636363636,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
