step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
2490000,148.609,,62.014,2047.292,634.9038047490158,668.08984375,0.0843011811023622,100.3,1410.944747324065,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2520000,144.499,,61.52,2070.398,634.9748337846884,668.08984375,0.08339824732229796,100.3,1410.8848397943038,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2550000,149.268,,56.69,2093.243,635.0801147989889,668.08984375,0.08247472315840154,100.3,1410.8235661410688,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2580000,164.436,,58.95,2119.646,635.2782669103661,668.08984375,0.08145506419400857,100.3,1410.755914170233,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2610000,159.34,,56.442,2142.72,635.4500584283867,668.08984375,0.08057384760112889,100.3,1410.6974475246943,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2640000,162.564,,49.062,2169.296,635.625542736408,668.08984375,0.0796003717472119,100.3,1410.6328596944702,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2670000,164.489,,59.686,2192.391,635.5706752873563,668.08984375,0.07875862068965518,100.3,1410.577011494253,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2700000,160.842,,52.82,2218.785,635.5803736227851,668.08984375,0.07782825988187188,100.3,1410.5152842457974,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2730000,173.154,,48.562,2241.839,635.6283301483813,668.08984375,0.07702338129496403,100.3,1410.4618824471672,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2760000,164.43,,48.11,2265.004,635.7256880702047,668.08984375,0.07623497997329773,100.3,1410.4095738762794,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2790000,169.666,,51.97,2291.47,635.8783531222515,668.08984375,0.07532981530343008,100.3,1410.3495183322339,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2820000,153.944,,70.122,2314.802,635.9028692316065,668.08984375,0.07457553330430998,100.3,1410.299473498041,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2850000,157.688,,53.683,2341.114,635.9423226969436,668.08984375,0.07374085234610418,100.3,1410.2440943822644,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2880000,162.957,,53.756,2364.164,635.9541556772166,668.08984375,0.07301790281329924,100.3,1410.1961283834187,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2910000,195.96,,37.632,2387.227,636.0436401367188,668.08984375,0.07233952702702703,100.3,1410.1511197476773,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2940000,183.137,,49.358,2413.818,636.1486691022965,668.08984375,0.0715240083507307,100.3,1410.0970120041754,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2970000,180.277,,48.695,2436.845,636.2139548639843,668.08984375,0.07087298303682252,100.3,1410.053818007861,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3000000,190.547,,61.874,2463.126,636.2521848787848,668.08984375,0.07009001636661212,100.3,1410.0018700132978,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3030000,178.901,,48.769,2486.303,636.2361744728305,668.08984375,0.06946472019464721,100.3,1409.9603830849553,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3060000,197.467,,37.501,2509.399,636.2422644008637,668.08984375,0.06882282040980314,100.3,1409.9177945460024,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3090000,193.969,,37.327,2535.81,636.4106763588037,668.08984375,0.06808426073131955,100.3,1409.8687928507552,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3120000,191.16,,52.661,2559.002,636.5500396932847,668.08984375,0.06746750689247735,100.3,1409.827872686097,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3150000,200.444,,36.951,2585.339,636.6010355750487,668.08984375,0.06678362573099415,100.3,1409.7824987816764,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3180000,199.44,,48.309,2608.499,636.5928368310472,668.08984375,0.06619010819165379,100.3,1409.743120290765,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3210000,197.8,,50.748,2635.223,636.721511572303,668.08984375,0.0655317521040551,100.3,1409.6994399148814,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3240000,206.449,,43.237,2658.278,636.7717858243269,668.08984375,0.06496018202502844,100.3,1409.6615175862723,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3270000,205.626,,48.602,2681.349,636.9114646968985,668.08984375,0.06439849624060151,100.3,1409.6242510573309,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3300000,198.159,,55.451,2707.91,637.0388894382911,668.08984375,0.06377513030528667,100.3,1409.582892195644,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3330000,210.101,,43.233,2730.891,637.0313120039683,668.08984375,0.06323366555924696,100.3,1409.546967284976,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
