step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
1980000,357.049,,19.919,1604.991,615.6797022220477,685.0,0.08103015075376885,71.7,1373.3795294833542,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2010000,372.631,,19.234,1629.242,615.7897586633663,685.0,0.07982673267326733,71.7,1373.4019714959777,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2040000,380.542,,25.085,1653.468,615.8045040967988,685.0,0.07865853658536585,71.7,1373.4237566692073,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2070000,384.301,,24.854,1677.779,615.8948481633113,685.0,0.07752403846153846,71.7,1373.4449134239783,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2100000,395.831,,22.163,1701.98,615.9306224081754,685.0,0.0764218009478673,71.7,1373.4654685648698,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2130000,391.139,,16.32,1726.054,615.9737377701518,685.0,0.07535046728971963,71.7,1373.4854473933995,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2160000,399.166,,23.034,1750.275,615.9863686275921,685.0,0.07430875576036866,71.7,1373.504873811924,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2190000,404.963,,26.337,1774.397,616.0525057705966,685.0,0.07329545454545454,71.7,1373.523770419034,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2220000,417.681,,26.426,1798.427,616.1203602333239,685.0,0.07230941704035874,71.7,1373.5421585972533,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2250000,417.081,,25.13,1822.475,616.1825286055033,685.0,0.0713495575221239,71.7,1373.56005859375,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2280000,427.513,,25.968,1846.538,616.3736588257369,685.0,0.07041484716157205,71.7,1373.5774895947052,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2310000,430.039,,24.903,1870.75,616.6091413826778,685.0,0.06950431034482758,71.7,1373.5944697939117,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2340000,437.979,,29.034,1894.862,616.7686373237094,685.0,0.06865353911655135,71.7,1373.6103354510378,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2370000,443.927,,25.591,1918.945,616.7990179978981,685.0,0.06778770362585392,71.7,1373.6264820349447,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2400000,436.689,,22.569,1943.047,616.8835584782045,685.0,0.06694343539180073,71.7,1373.642226420602,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2430000,459.689,,24.036,1967.127,616.8932438493081,685.0,0.06611993849308047,71.7,1373.6697887301384,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2460000,456.157,,33.406,1991.27,617.1979865506329,685.0,0.06531645569620254,71.7,1373.7330419303798,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2490000,468.781,,21.934,2015.409,617.3827226113057,685.0,0.06453226613306653,71.7,1373.7469398761882,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2520000,467.288,,24.61,2039.574,617.4348662259022,685.0,0.06376668314384577,71.7,1373.7605080635196,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2550000,476.072,,33.436,2063.989,617.5075453407426,685.0,0.063019052271617,71.7,1373.773758091109,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2580000,481.879,,32.698,2088.179,617.5243636075568,685.0,0.06228874939642685,71.7,1373.7867010200387,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2610000,494.853,,24.108,2112.637,617.6907872165871,685.0,0.06157517899761337,71.7,1373.7993474045345,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2640000,499.199,,33.256,2136.789,617.6907886974989,685.0,0.06087777253421425,71.7,1373.8117073206702,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2670000,508.55,,28.898,2160.74,617.7980634624358,685.0,0.06019598693420439,71.7,1373.8237903931404,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2700000,516.021,,29.7,2184.793,617.824663994001,685.0,0.05952930318412552,71.7,1373.8356058202585,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2730000,516.642,,33.402,2208.986,617.83741014377,685.0,0.058877225011410315,71.7,1373.847162397307,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2760000,523.096,,29.418,2233.211,617.8641277511286,685.0,0.058239277652370205,71.7,1373.8584685383746,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
2790000,527.609,,28.708,2258.31,617.9021989448414,685.0,0.05761500669941939,71.7,1374.0553051027243,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
