step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
520000,-1.0,,0.0,1408.611,1312.372731316726,1420.984375,89.34540925266897,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2856096923351288,-0.02491205558180809,1.5114706286567525e-07
530000,-1.0,,0.0,1434.148,1314.1145432692308,1420.984375,89.33328671328668,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2200937718153,-0.013005505315959454,3.4740563137347635e-07
540000,-1.0,,0.0,1461.732,1316.0022076474622,1420.984375,89.31673525377225,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.24144347012043,-0.00226121605373919,2.0445295945137332e-07
550000,-1.0,,0.0,1489.314,1317.7612794612794,1420.984375,89.31824915824912,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3665508031845093,0.008420413359999657,2.390050894973683e-07
560000,-1.0,,0.0,1519.01,1319.6420482673268,1420.984375,89.30943894389438,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.33315780758857727,0.01873866654932499,2.1785250226002972e-07
570000,-1.0,,0.0,1544.514,1321.1620637175324,1420.984375,89.29753246753249,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4353007376194,0.028191793709993362,3.155149386202538e-07
580000,-1.0,,0.0,1572.031,1322.750658104659,1420.984375,89.30140395660501,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.28258752822875977,0.03690759837627411,3.279999418737134e-07
590000,-1.0,,0.0,1599.897,1324.3412813479624,1420.984375,89.28714733542323,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3130207061767578,0.04574180766940117,1.3401290743786376e-07
600000,-1.0,,0.0,1629.392,1325.984798076923,1420.984375,89.2762461538462,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4053031802177429,0.05431254208087921,2.0264208444586984e-07
610000,-1.0,,0.0,1654.98,1327.3167992424242,1420.984375,89.26824242424244,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3464745283126831,0.06204960495233536,1.4984813390128693e-07
620000,-1.0,,0.0,1682.53,1328.7640233909417,1420.984375,89.25512514898693,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.21772566437721252,0.06911185383796692,1.4920792068551236e-07
630000,-1.0,,0.0,1710.345,1330.11482771261,1420.984375,89.25812316715545,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.147905632853508,0.07637534290552139,1.8132217860511446e-07
640000,-1.0,,0.0,1739.775,1331.565850144092,1420.984375,89.24691642651305,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.20199738442897797,0.08353205025196075,2.0374433518099977e-07
650000,-1.0,,0.0,1765.328,1332.7443892045455,1420.984375,89.23926136363644,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4258832037448883,0.08994831144809723,1.9600547318532335e-07
660000,-1.0,,0.0,1792.845,1333.9899097649693,1420.984375,89.2414101846671,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.13169212639331818,0.09573409706354141,1.4838734330169245e-07
670000,-1.0,,0.0,1820.678,1335.2413567493113,1420.984375,89.22760330578511,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2789803445339203,0.1015179380774498,2.1424521889912285e-07
680000,-1.0,,0.0,1850.174,1336.5191734417344,1420.984375,89.21739837398368,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.332256555557251,0.10714275389909744,2.1369581304497842e-07
690000,-1.0,,0.0,1875.671,1337.5611213235295,1420.984375,89.2125668449197,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.39080455899238586,0.11234426498413086,2.2812200484167988e-07
700000,-1.0,,0.0,1903.442,1338.6956911880927,1420.984375,89.20089567966274,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.5055735111236572,0.11701076477766037,1.385434558187626e-07
710000,-1.0,,0.0,1931.075,1339.7591071428571,1420.984375,89.20264935064928,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4708779752254486,0.12168572843074799,1.2900831336537522e-07
720000,-1.0,,0.0,1960.421,1340.8697303607985,1420.984375,89.2012794268167,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3370876908302307,0.12628814578056335,1.00245436840396e-07
730000,-1.0,,0.0,1985.926,1341.8453125,1420.984375,89.18515151515143,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.31457608938217163,0.13041847944259644,9.127813171971866e-08
740000,-1.0,,0.0,2013.692,1342.8355521300448,1420.984375,89.19068261086187,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.22939461469650269,0.13417047262191772,8.799143103033202e-08
750000,-1.0,,0.0,2041.292,1343.8347128378375,1420.984375,89.17690417690405,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.31493088603019714,0.13799792528152466,8.837846365850055e-08
760000,-1.0,,0.0,2070.671,1344.8292908187984,1420.984375,89.18149224806186,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3258269727230072,0.14176413416862488,8.761464442841316e-08
770000,-1.0,,0.0,2096.526,1345.526360645933,1420.984375,89.16909090909078,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.37893256545066833,0.14513206481933594,9.027807124084575e-08
780000,-1.0,,0.0,2124.091,1346.19281412376,1420.984375,89.17227208313638,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.44652944803237915,0.14816339313983917,6.682221709297664e-08
790000,-1.0,,0.0,2151.741,1346.8661931818183,1420.984375,89.1602797202796,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3906279504299164,0.1512264758348465,5.6721365382372824e-08
800000,-1.0,,0.0,2181.403,1347.5689008620689,1420.984375,89.15416091954016,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.36526188254356384,0.15426772832870483,6.944036101685924e-08
810000,-1.0,,0.0,2206.941,1348.1425639204544,1420.984375,89.15049999999997,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.41749754548072815,0.1569606065750122,2.125717912804248e-07
820000,-1.0,,0.0,2234.557,1348.749305399641,1420.984375,89.15163897620113,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.5042657256126404,0.159213587641716,3.379692259386502e-08
830000,-1.0,,0.0,2262.223,1349.3631721175166,1420.984375,89.1395121951219,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4953591823577881,0.16167928278446198,5.978952088980805e-08
840000,-1.0,,0.0,2291.886,1350.0041849015315,1420.984375,89.13343544857761,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3906225562095642,0.1641891598701477,6.61692141079584e-08
850000,-1.0,,0.0,2317.557,1350.525872564935,1420.984375,89.13038961038953,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.36756059527397156,0.16651839017868042,9.016292779051582e-08
860000,-1.0,,0.0,2345.157,1351.0972251924725,1420.984375,89.12070145423431,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3773850202560425,0.16873377561569214,1.4817810267686582e-07
870000,-1.0,,0.0,2372.756,1351.635366014799,1420.984375,89.12224101479907,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.42942002415657043,0.17081321775913239,6.465976554181907e-08
880000,-1.0,,0.0,2402.507,1352.2193893528183,1420.984375,89.1192066805845,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.437855064868927,0.1727132797241211,1.1010063616367916e-07
